# numer_sta,date,pmer,tend,cod_tend,dd,ff,t,td,u,vv,ww,w1,w2,n,nbas,hbas,cl,cm,ch,pres,niv_bar,geop,tend24,tn12,tn24,tx12,tx24,tminsol,sw,tw,raf10,rafper,per,etat_sol,ht_neige,ssfrai,perssfrai,rr1,rr3,rr6,rr12,rr24,phenspe1,phenspe2,phenspe3,phenspe4,nnuage1,ctype1,hnuage1,nnuage2,ctype2,hnuage2,nnuage3,ctype3,hnuage3,nnuage4,ctype4,hnuage4,
7005,2013-01-01 00:00:00,100290,-50.0,8,200,6.7,281.65,280.45,92,14000,61,nan,nan,nan,nan,nan,nan,nan,nan,99400,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,11.3,-10.0,nan,0.0,nan,nan,0.6,1.0,3.0,nan,nan,710.0,1111.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
7015,2013-01-01 00:00:00,100270,-80.0,6,210,8.7,281.45,280.05,91,15000,61,6,6,100,8,450,35,61,60,99700,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,15.4,-10.0,nan,nan,0.0,-60.0,0.6,2.0,4.0,nan,nan,710.0,1115.0,3100.0,nan,7,6,360,nan,nan,nan,nan,nan,nan,nan,nan,nan,
7020,2013-01-01 00:00:00,100350,40,3,260,7.7,284.15,281.85,86,12000,1,6,2,75,6,800,38,20,10,100090,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,11.8,-10.0,nan,nan,nan,nan,0.0,0.0,0.0,nan,nan,710.0,1112.0,nan,nan,4,8,780,nan,nan,nan,nan,nan,nan,nan,nan,nan,
7027,2013-01-01 00:00:00,100370,-60.0,6,220,4.6,282.35,280.95,91,60000,0,nan,nan,100,nan,800,nan,nan,nan,99560,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8.7,-10.0,nan,0.0,nan,nan,0.0,1.0,6.0,nan,nan,710.0,1109.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
7037,2013-01-01 00:00:00,100440,-90.0,8,210,7.7,280.85,279.75,93,11000,61,nan,nan,100,nan,250,nan,nan,nan,98610,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,10.3,-10.0,nan,nan,nan,nan,0.8,2.0,2.0,nan,nan,710.0,1110.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
7072,2013-01-01 00:00:00,100760,-100.0,8,200,4.1,280.75,277.65,81,18000,61,nan,nan,100,nan,1750,nan,nan,nan,99610,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8.7,-10.0,nan,0.0,nan,nan,0.6,0.6,0.6,nan,nan,710.0,1109.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
7110,2013-01-01 00:00:00,100640,120,2,300,3.6,282.15,281.05,93,15000,25,8,6,75,6,450,38,20,10,99500,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7.2,-10.0,nan,nan,nan,nan,0.2,0.2,0.2,nan,nan,710.0,1107.0,nan,nan,3,8,330,4,6,1320,nan,nan,nan,nan,nan,nan,
7117,2013-01-01 00:00:00,100500,80,3,280,5.7,282.65,281.05,90,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,99800,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,10.3,-10.0,nan,nan,nan,nan,0.0,0.6,2.0,nan,nan,710.0,1110.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
7130,2013-01-01 00:00:00,100570,60,3,240,3.1,282.55,281.65,94,60000,0,nan,nan,100,nan,800,nan,nan,nan,100050,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.1,-10.0,nan,0.0,nan,nan,0.0,1.0,12.0,nan,nan,710.0,1105.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
7139,2013-01-01 00:00:00,100490,-140.0,6,200,5.7,281.05,280.25,95,6000,61,nan,nan,100,nan,250,nan,nan,nan,98760,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,11.3,-10.0,nan,nan,nan,nan,1.0,5.0,6.0,nan,nan,710.0,1111.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
7149,2013-01-01 00:00:00,100680,-140.0,8,200,6.2,280.75,279.25,90,10000,60,6,2,90,7,450,35,61,60,99590,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,10.8,-10.0,nan,nan,0.0,-60.0,0.8,2.0,2.0,nan,nan,710.0,1111.0,3100.0,nan,4,6,360,4,6,540,6,6,1170,nan,nan,nan,
7168,2013-01-01 00:00:00,100930,-130.0,6,180,5.1,279.85,276.05,77,20000,0,nan,nan,100,nan,2250,nan,nan,nan,99490,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,9.8,-10.0,nan,0.0,nan,nan,0.0,0.0,0.0,nan,nan,710.0,1110.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
7181,2013-01-01 00:00:00,101060,-170.0,7,180,5.7,278.25,273.85,73,60000,0,nan,nan,100,nan,nan,nan,nan,nan,96920,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,9.8,-10.0,nan,nan,nan,nan,0.0,0.0,0.0,nan,nan,710.0,1110.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
7190,2013-01-01 00:00:00,101160,-190.0,6,180,4.6,278.15,274.05,75,45000,0,nan,nan,100,nan,nan,nan,nan,nan,99310,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6.7,-10.0,nan,nan,nan,nan,0.0,0.0,0.0,nan,nan,710.0,1107.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
7207,2013-01-01 00:00:00,100760,110,3,290,4.6,284.35,282.75,90,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,100240,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,10.3,-10.0,nan,nan,nan,nan,0.0,2.0,5.0,nan,nan,710.0,1110.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
7222,2013-01-01 00:00:00,100660,10,3,240,2.1,282.95,282.65,98,12000,61,6,6,90,7,800,35,61,60,100350,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.6,-10.0,nan,nan,nan,nan,0.6,7.0,12.0,nan,nan,710.0,1105.0,nan,nan,3,6,720,4,6,1380,7,6,2100,nan,nan,nan,
